Hra,BET,
"online_Multiplay 81_CZK, e-gaming, s.r.o."," 9,422,005 Kč ",19.30%
"online_Hunter's Dream 2_CZK, e-gaming, s.r.o."," 5,456,605 Kč ",11.18%
"online_Multi 5_CZK, e-gaming, s.r.o."," 5,108,900 Kč ",10.47%
"online_Wild Cookies_CZK, e-gaming, s.r.o."," 4,874,760 Kč ",9.99%
"online_Multi Vegas 81_CZK, C.S.G. Software Group Limited"," 3,136,798 Kč ",6.43%
"online_Respin Joker 81_CZK, SYNOT W, a.s."," 2,698,646 Kč ",5.53%
"online_Maxi 5_CZK, e-gaming, s.r.o."," 2,422,435 Kč ",4.96%
"online_Karlos Game_CZK, APOLLO SOFT s.r.o."," 2,359,812 Kč ",4.83%
"online_Fruit Jack_CZK, e-gaming, s.r.o."," 2,309,100 Kč ",4.73%
"online_Respin Joker_CZK, SYNOT W, a.s."," 2,151,214 Kč ",4.41%
"online_Double Game_CZK, e-gaming, s.r.o."," 2,032,700 Kč ",4.16%
"online_Joker´s Jewels_CZK, Pragmatic"," 1,794,586 Kč ",3.68%
"online_Midnight Fruits_CZK, APOLLO SOFT s.r.o."," 1,752,100 Kč ",3.59%
"online_Treasure Box_CZK, e-gaming, s.r.o."," 1,693,760 Kč ",3.47%
"online_Sugoi Spin_CZK, e-gaming, s.r.o."," 1,598,525 Kč ",3.27%
