Název hry,Bet,% Win/Bet,Počet spinů
Double Star 27,178420,143.815155,5658
Red Evil,206575,135.723103,1824
Crystal Fruits Bonanza,230166.5,132.629118,5575
Boofa,127045,131.650203,4035
Wolf Gold,363786,124.942824,10060
Joker’s Five,161496,124.494105,7405
Blazing Reels,121796,120.740418,3487
Bikers Gang 27,112560,118.77221,3924
Xmas Secret,344136,115.650353,20953
Joker Strong,292117,115.12887,18893
Aladdin and the Magic Carpet,240625,114.83387,12049
81 Attila,152383,114.607272,8226
Simply Hot XL 100,199263,114.410764,3751
Clever Dollar,131408,114.173414,4922
Skull Bonanza,223948,112.74883,30456
Hawaiian Fever,159704,110.761158,6105
Fruit Sizzler,1021120,110.087453,9759
Ultra Hold and Spin,182949,109.470399,6949
Mystery Apollo II,306500,109.268842,6343
Extra Joker 40,283611,109.094182,9561
Sweet Bonanza,466840,109.046526,25159
Respin Fruit 81,602685,108.682811,14409
Super Slot Farm,104145,108.545778,5567
Super Star 27,791085,108.430826,25899
Big X,346428,108.318323,17620
Crystal Miners,154820,108.29544,4637
27 Joker Fruits,443868,107.740139,25815
Frozen Queen,285607,107.516447,9596
Nightmare Squad,506090,106.361517,16368
Circus 2,816745,105.986569,12358
Juicy Fruits,186640.5,105.949738,6157
Sizzle Fire,100768,105.946332,7886
2024 Hit Slot,229092.6,105.866885,36069
Tropical Joker,121645,105.618809,4740
2023 Hit Slot,132435.2,105.446966,22139
Happy Nuts 81,1378460,105.437372,36403
Lumberjack 5,137078,105.418083,3103
Farmer Jack,386538,105.383171,7844
243 Simply Ways,865591,105.280034,68137
81 Famous Multifruits,2290687,104.784547,112785
Savana Sunrise Deluxe,1162005,104.725453,32970
Lumberjack,100903,104.264492,10835
Treasures of Namib,302082,103.972498,15150
Lumberjack 2,1342424,103.61108,54755
6 Fruits Deluxe,114983,103.581399,14711
Cowboys Gold,1130974,103.370104,25090
Gems Quest,599565,103.280712,15484
Grand Gems,446771,103.270244,10189
Miracle Wild,117624,103.141791,13588
Turbo Slots,2221725,102.92903,20291
Spinning Wild 4,324455,102.744602,8229
Oldskool Spin 81,2017935,102.657172,65606
Fruit Dreams,287200,102.616643,10482
Golden Treasure,323275,102.496327,9755
Ring of Fire XL,681314,102.408875,54976
Cage Fighters,599694,102.351533,19623
Joker´s Jewels,4847187,102.343792,36124
Mountain Legends 2,2397135,102.18782,27039
Diamonal 81,353380,102.150659,15199
Stars,369602,102.13527,16431
256 Joker,283096,101.92984,10314
Clover Madness 100,336277,101.412318,4123
Scatter Expres,109930,101.228054,3927
Mega Carp Caramba,247927,101.049906,14436
The Dollar Game,961020.4,100.816882,54586
Happy Bar 27,206620,100.689672,10909
Amazon’s Wonders,1771753.5,100.635145,265284
Purple Ball,179913,100.613074,4397
Flaming Fruit,157506,100.48887,10408
Vigorous Knights,2168815,100.463387,41588
Fresh Fruits,146683.6,100.420497,40181
Firebird Double 27,3010498,100.327653,201994
50 Treasures,156635,100.319724,6969
Klondike Dreams,372535,100.139584,12747
Joker Stoker,334708.8,100.136692,28451
81 Vegas Magic,127516,100.119201,5307
Double Game 2,3006275,100.016299,64165
Chance Machine 20,276047.4,99.80891,27278
Firebird 27,9063016,99.619906,125652
Wild Fall,196385,99.506072,8755
Multi Vegas 81,4878950,99.477879,132741
Frutty Lab,958360,99.09533,42745
Top Bullet,192180,98.896868,6572
Mini Roulette,188145,98.849292,2373
Hardcore,411728,98.841954,4452
Monster Joker 81,186630,98.665809,14834
Primal Age,637655,98.625432,10781
Slot Birds 81,2050030,98.588313,40165
HOT 7's X 2,181249,98.526337,7168
Big Joker,167500,98.401194,6838
Candy Fruits,112545,98.196277,3896
243 Hot Ways,992028,98.050408,21079
Hunter’s Spirit,3311181,98.01068,130534
243 Crystal Fruits,1146073,97.989744,35995
Super Reels Deluxe,4744735,97.94214,70357
Blissful Jack 100,1358292,97.91374,71666
Reel Hot Respin,2236474.4,97.770764,71452
Happy Nuts,160915,97.669577,7574
Chance Machine 100,111124,97.648663,19160
Mega Carp Christmas,132552,97.626592,5888
Jack and the Mystery Monsters,111919,97.622388,5894
81 Simply Ways,2053876,97.59187,57809
Diamond Chance,167480.7,97.481232,18989
Dance Night 81,1027264,97.332429,97248
5 Stones,5507195,97.306978,173119
Blood,519560,97.28809,15844
Vegas 81 Multiplier,532890,97.282366,12791
81 Panther,509132,97.271827,36805
Sugoi Spin,8603825,97.238031,59622
Sphinx Tomb,247520,97.167098,14133
Diamond Strike,100498.5,97.158167,4890
Hell Bars,748179,97.137583,34705
Pirate Adventures,1789780,97.126742,61446
Midnight Fruits,12103025,97.12167,253643
81 Multi Gold,5142404,97.065186,238516
Jetsetter,210234,97.032169,7124
Wild Joker 50,610981,97.004309,42744
Aladdin and the Golden Palace,240503,97.002948,13978
Oldskool Spin 243,2254615,96.947372,54884
Charm Of Fruits,324532,96.943784,9524
Jiggly Jack,3117895,96.845853,82794
Ferris Wheel,5761395,96.826723,105085
4 Spin,861005,96.65333,26943
Buffalo King Megaways,210982,96.640851,19548
Wild Love,184177.4,96.597682,27232
Hunter's Dream 2,20676990,96.592275,556875
Respin Joker,6399822,96.558701,296637
Respin Bunny,573738,96.46302,22539
Multi joker,299291,96.429562,11173
Spin Machine 81,318560,96.33664,16394
Wild Joker 60 Max,266979,96.319074,10326
Joker 50 Deluxe,124560,96.305074,7323
Multiplay Hot,4844555,96.273342,113603
Super Amazons,128294,96.198887,12682
Apparatus 40,1117335,96.171336,54479
