BET,WIN,Čas spinu,Hráč,Hra
400,200000,2026-05-03 14:16:43,is***va,online_Treasure Box_CZK
200,200000,2026-05-02 16:47:41,Fr***em,online_Joker´s Jewels_CZK
500,100000,2026-04-30 22:39:37,Zd***66,online_Hunter's Dream 2_CZK
500,100000,2026-04-29 23:58:23,Ma***91,online_Double Game 2_CZK
500,91000,2026-04-29 08:10:52,Sa***77,online_81 Famous Multifruits_CZK
500,80000,2026-04-30 09:48:23,ma***ar,online_Multiplay 81_CZK
200,63200,2026-04-29 23:29:52,De***12,online_Respin Joker_CZK
500,60000,2026-05-02 21:47:29,FI***90,online_Respin Joker 243_CZK
500,50000,2026-05-03 18:54:16,Ko***dv,online_Wild Flame Sevens_CZK
100,50000,2026-05-02 20:10:51,Ni***04,online_Seasons_CZK
100,45700,2026-04-28 22:59:04,ch***ay,online_Fruit Jack_CZK
108,43804.8,2026-04-27 16:27:49,To***lo,online_Sweet Bonanza_CZK
500,41000,2026-05-02 08:16:59,mm***yl,online_Wild Joker 50_CZK
200,40000,2026-04-30 23:17:02,Lp***oi,online_Multi 5_CZK
120,38520,2026-04-29 21:25:57,St***kk,online_Cowboys Gold_CZK
500,37500,2026-05-01 21:30:18,Po***93,online_100 Hot Wild_CZK
125,37275,2026-04-29 23:05:52,Ku***23,online_Safari_CZK
500,36500,2026-04-29 12:48:50,Yj***89,online_Multi 5_CZK
500,36000,2026-04-27 22:35:21,Ja***85,online_81 Simply Ways_CZK
200,35200,2026-04-29 17:41:16,Vi***kk,online_Hunter's Dream 2_CZK
